Sr_no,DeviceId,TimeSent,DateSent,Receive_Time,Receive_Date,BatteryStatus,ChargingStatus,ChargingSupply,NetworkStatus,date_time_imei,TableTimeStamp,Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66,Parameter67,Parameter68,Parameter69,Parameter70,Parameter71,Parameter72,Parameter73,Parameter74,Parameter75,Parameter76,Parameter77,Parameter78,Parameter79,Parameter80,Parameter81,Parameter82,Parameter83,Parameter84,Parameter85,Parameter86,Parameter87,Parameter88,Parameter89,Parameter90,Parameter91,Parameter92,Parameter93,Parameter94,Parameter95,Parameter96,Parameter97,Parameter98,Parameter99,Parameter100,Parameter101,Parameter102,Parameter103,Parameter104,Parameter105,Parameter106,Parameter107,Parameter108,Parameter109,Parameter110,Parameter111,Parameter112,Parameter113,Parameter114,Parameter115,Parameter116,Parameter117,Parameter118,Parameter119,Parameter120,Parameter121,Parameter122,Parameter123,Parameter124,Parameter125,Parameter126,Parameter127,Parameter128,Parameter129,Parameter130,Parameter131,Parameter132,Parameter133,Parameter134,Parameter135,Parameter136,Parameter137,Parameter138,Parameter139,Parameter140,Parameter141,Parameter142,Parameter143,Parameter144,Parameter145,Parameter146,Parameter147,Parameter148,Parameter149,Parameter150,Parameter151,Parameter152,Parameter153,Parameter154,Parameter155,Parameter156,Parameter157,Parameter158,Parameter159,Parameter160,Parameter161,Parameter162,Parameter163,Parameter164,Parameter165,Parameter166,Parameter167,Parameter168,Parameter169,Parameter170,Parameter171,Parameter172,Parameter173,Parameter174,Parameter175,Parameter176
135559,200011512628130,00:20:02,2019-09-21,00:21:01,2019-09-21,4,1,1,4,"2019-9-21 0:20:2 200011512628130","2019-09-21 00:20:02",-5,5.4,14.9,24,229,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.4,27.4,12.4,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135560,200011512628130,00:22:02,2019-09-21,00:23:03,2019-09-21,4,1,1,4,"2019-9-21 0:22:2 200011512628130","2019-09-21 00:22:02",-5.1,5.7,15.1,24,230,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.6,27.3,12.5,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135561,200011512628130,00:24:02,2019-09-21,00:25:01,2019-09-21,4,1,1,4,"2019-9-21 0:24:2 200011512628130","2019-09-21 00:24:02",-5.2,5.9,15.1,24,228,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.4,27.3,12.7,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135562,200011512628130,00:26:02,2019-09-21,00:27:01,2019-09-21,4,1,1,4,"2019-9-21 0:26:2 200011512628130","2019-09-21 00:26:02",-5.2,5.9,15.3,24,231,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.4,27.2,12.8,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135563,200011512628130,00:28:02,2019-09-21,00:29:01,2019-09-21,4,1,1,4,"2019-9-21 0:28:2 200011512628130","2019-09-21 00:28:02",-5,5.9,15.3,24,232,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.6,27.1,12.9,23,226,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135564,200011512628130,00:30:02,2019-09-21,00:31:01,2019-09-21,4,1,1,4,"2019-9-21 0:30:2 200011512628130","2019-09-21 00:30:02",-5.2,5.5,15.4,24,230,0,0,0,0,0,1,1,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.6,27.1,13,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135565,200011512628130,00:32:02,2019-09-21,00:33:01,2019-09-21,4,1,1,4,"2019-9-21 0:32:2 200011512628130","2019-09-21 00:32:02",-5.1,5.4,15.6,24,230,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.5,27,13.2,23,226,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135566,200011512628130,00:34:02,2019-09-21,00:35:01,2019-09-21,4,1,1,4,"2019-9-21 0:34:2 200011512628130","2019-09-21 00:34:02",-4.9,5.7,15.5,24,231,0,0,0,0,0,1,1,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.5,26.9,13.3,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135567,200011512628130,00:36:02,2019-09-21,00:36:56,2019-09-21,4,1,1,4,"2019-9-21 0:36:2 200011512628130","2019-09-21 00:36:02",-5.2,5.4,15.7,24,230,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.4,26.9,13.4,23,226,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135568,200011512628130,00:38:02,2019-09-21,00:39:01,2019-09-21,4,1,1,4,"2019-9-21 0:38:2 200011512628130","2019-09-21 00:38:02",-5.2,5.7,15.7,24,230,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.5,26.8,13.6,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135569,200011512628130,00:40:02,2019-09-21,00:41:01,2019-09-21,4,1,1,4,"2019-9-21 0:40:2 200011512628130","2019-09-21 00:40:02",-5,5.9,15.8,24,230,0,0,0,0,0,1,1,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.4,26.8,13.7,23,226,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135570,200011512628130,00:42:02,2019-09-21,00:43:01,2019-09-21,4,1,1,4,"2019-9-21 0:42:2 200011512628130","2019-09-21 00:42:02",-4.9,5.6,15.9,24,230,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.4,26.7,13.8,23,226,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
