,ac_voltage_mean,agitator_mean,compressor_mean,created_by,created_on,device_id,discharge_pump_mean,milk_temp_mean,n_obs,pump_current_mean,serial_number,tank_switch_mean,timestamp,tss_temp_mean
3965,234.76666666666668,0.36666666666666664,0.43666666666666665,test,2019-12-31 16:29:22.499689,31,1.0,3.4466666666666663,30,0.0,200011559554595,1.0,2019-12-31 05:00:00.000000,-7.31
3966,229.13333333333333,0.5333333333333333,0.22333333333333333,test,2019-12-31 16:29:22.499689,31,1.0,4.23,30,0.0,200011559554595,1.0,2019-12-31 06:00:00.000000,-6.1066666666666665
3967,219.4,0.6333333333333333,6.786666666666668,test,2019-12-31 16:29:22.499689,31,1.0,4.3,30,0.0,200011559554595,1.0,2019-12-31 07:00:00.000000,-4.233333333333333
3968,218.86666666666667,0.3,2.726666666666667,test,2019-12-31 16:29:22.499689,31,1.0,3.423333333333333,30,0.0,200011559554595,1.0,2019-12-31 08:00:00.000000,-7.483333333333334
3969,216.03333333333333,0.4,0.0,test,2019-12-31 16:29:22.499689,31,1.0,3.533333333333333,30,0.0,200011559554595,1.0,2019-12-31 09:00:00.000000,-7.05
3970,217.2,0.43333333333333335,0.0,test,2019-12-31 16:29:22.499689,31,1.0,3.6733333333333333,30,0.0,200011559554595,1.0,2019-12-31 10:00:00.000000,-5.553333333333333
3971,216.56666666666666,0.4,3.9066666666666667,test,2019-12-31 16:29:22.499689,31,1.0,3.986666666666667,30,0.0,200011559554595,1.0,2019-12-31 11:00:00.000000,-3.566666666666667
3972,216.0,0.3,5.026666666666666,test,2019-12-31 16:29:22.499689,31,1.0,3.4299999999999997,30,0.0,200011559554595,1.0,2019-12-31 12:00:00.000000,-6.6866666666666665
3973,221.36666666666667,0.43333333333333335,0.0,test,2019-12-31 16:29:22.499689,31,1.0,3.7866666666666666,30,0.0,200011559554595,1.0,2019-12-31 13:00:00.000000,-7.219999999999999
3974,219.33333333333334,0.3333333333333333,0.0,test,2019-12-31 16:29:22.499689,31,1.0,3.5599999999999996,30,0.0,200011559554595,1.0,2019-12-31 14:00:00.000000,-5.63
3975,220.4,0.36666666666666664,1.6133333333333335,test,2019-12-31 16:29:22.499689,31,1.0,3.556666666666666,30,0.0,200011559554595,1.0,2019-12-31 15:00:00.000000,-3.7533333333333334
3976,218.06666666666666,0.36666666666666664,5.86,test,2019-12-31 16:29:22.499689,31,1.0,3.5033333333333334,30,0.0,200011559554595,1.0,2019-12-31 16:00:00.000000,-6.0600000000000005
3977,218.1,0.26666666666666666,0.0,test,2019-12-31 16:29:22.499689,31,1.0,3.5466666666666664,30,0.0,200011559554595,1.0,2019-12-31 17:00:00.000000,-7.236666666666667
3978,218.63333333333333,0.26666666666666666,0.0,test,2019-12-31 16:29:22.499689,31,1.0,3.6,30,0.0,200011559554595,1.0,2019-12-31 18:00:00.000000,-6.539999999999998
3979,223.6,0.3,0.0,test,2019-12-31 16:29:22.499689,31,1.0,3.4699999999999998,30,0.0,200011559554595,1.0,2019-12-31 19:00:00.000000,-5.276666666666667
3980,224.33333333333334,0.4,3.37,test,2019-12-31 16:29:22.499689,31,1.0,3.730000000000001,30,0.0,200011559554595,1.0,2019-12-31 20:00:00.000000,-3.9466666666666663
3981,226.55172413793105,0.41379310344827586,4.179310344827586,test,2019-12-31 16:29:22.499689,31,1.0,3.4068965517241385,29,0.0,200011559554595,1.0,2019-12-31 21:00:00.000000,-7.134482758620689
